run,figure,step,agent_name,agent_version,model,pricing_profile,created_at,response_id,dry_run,input_tokens,cache_write_tokens,cached_tokens,uncached_input_tokens,output_tokens,reasoning_tokens,total_tokens,cache_hit_pct,estimated_uncached_input_cost_usd,estimated_cache_write_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,source_path
combined_03,fig3a,agent02_check_extraction_round3,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:34:10.720129+00:00,resp_0c876322874b1011006ab5a5600e3881938ef434c3b4eca460,False,18046,16088,1955,3,2494,702,20540,10.83,0.00000060,0.00402200,0.00003910,0.00299280,0.00705450,combined_03/fig3a/agent02_check_extraction_round3.provenance.json
combined_03,fig2a,agent02_check_extraction_round1,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:39:15.079079+00:00,resp_06a6e1321df7d3b4006ab5a682c42881908a9ba66fdcd6f3a0,False,29626,27668,1955,3,4710,723,34336,6.6,0.00000060,0.00691700,0.00003910,0.00565200,0.01260870,combined_03/fig2a/agent02_check_extraction_round1.provenance.json
combined_03,fig2a,agent02_check_extraction_round2,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:44:28.932084+00:00,resp_0d78790168eedc6a006ab5a7c3ab00819080ae2e0303720cea,False,39486,37528,1955,3,4081,172,43567,4.95,0.00000060,0.00938200,0.00003910,0.00489720,0.01431890,combined_03/fig2a/agent02_check_extraction_round2.provenance.json
combined_03,fig2a,agent02_check_extraction_round3,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:50:00.739938+00:00,resp_0b8e048297761845006ab5a90c7ff48193a41f0710b1cebae7,False,42804,40846,1955,3,4740,500,47544,4.57,0.00000060,0.01021150,0.00003910,0.00568800,0.01593920,combined_03/fig2a/agent02_check_extraction_round3.provenance.json
combined_03,fig3a,agent03_review_points,agent03-extraction,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:34:34.656445+00:00,resp_0cd320913446050f006ab5a573abfc8190a3cb262ea32d0282,False,18057,18054,0,3,2247,1552,20304,0.0,0.00000060,0.00451350,0.00000000,0.00269640,0.00721050,combined_03/fig3a/agent03_review_points.provenance.json
combined_03,fig2a,agent03_review_points,agent03-extraction,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:50:53.261264+00:00,resp_0de3e1eaae1e667a006ab5a93259f481958d6cdd0a71de382a,False,83946,83943,0,3,5123,2924,89069,0.0,0.00000060,0.02098575,0.00000000,0.00614760,0.02713395,combined_03/fig2a/agent03_review_points.provenance.json
combined_03,fig3a,agent04_final_check,agent04-qa,4,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:35:05.498235+00:00,resp_07bf2d7cd4b57a8e006ab5a58c97d4819383b83e2aa32cf290,False,7938,7935,0,3,1839,1199,9777,0.0,0.00001200,0.03967500,0.00000000,0.03678000,0.07646700,combined_03/fig3a/agent04_final_check.provenance.json
combined_03,fig2a,agent04_final_check,agent04-qa,4,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:52:08.931840+00:00,resp_0ba398473750aadc006ab5a967d7608190bed6a23e296d87c3,False,15059,15056,0,3,6003,2392,21062,0.0,0.00001200,0.07528000,0.00000000,0.12006000,0.19535200,combined_03/fig2a/agent04_final_check.provenance.json
single_01,discovery,agent00_find_figures:image,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:17:03.796764+00:00,resp_046ce004a51b3f70006ab5a159d7508193a0c3cb1fd17d83b5,False,4309,4306,0,3,2210,829,6519,0.0,0.00001200,0.02153000,0.00000000,0.04420000,0.06574200,single_01/discovery/agent00_find_figures.json#1
single_01,fig3a,agent01_read_chart,agent01-structure,5,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:23:57.820002+00:00,resp_02b00776095ede12006ab5a2f4d3c88197aa0cc42a564d06bb,False,5208,0,5205,3,2186,1449,7394,99.94,0.00001200,0.00000000,0.00208200,0.04372000,0.04581400,single_01/fig3a/agent01_read_chart.provenance.json
single_01,fig3a,agent02_check_extraction_round1,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:24:14.902324+00:00,resp_023033219cab7105006ab5a30d12e88195af5b41cc09f807e6,False,10040,8082,1955,3,1963,1034,12003,19.47,0.00000060,0.00202050,0.00003910,0.00235560,0.00441580,single_01/fig3a/agent02_check_extraction_round1.provenance.json
single_01,fig3a,agent02_check_extraction_round2,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:24:35.094761+00:00,resp_0876b2dc18f28a93006ab5a31ef9f88195a8f28ab34be8970c,False,11157,9199,1955,3,2190,1130,13347,17.52,0.00000060,0.00229975,0.00003910,0.00262800,0.00496745,single_01/fig3a/agent02_check_extraction_round2.provenance.json
single_01,fig3a,agent02_check_extraction_round3,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:25:15.107181+00:00,resp_002fa64d3fb8b4b3006ab5a34621688190ae247bfffbcd642c,False,14235,12277,1955,3,2728,860,16963,13.73,0.00000060,0.00306925,0.00003910,0.00327360,0.00638255,single_01/fig3a/agent02_check_extraction_round3.provenance.json
single_01,fig3a,agent03_review_points,agent03-extraction,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T22:25:53.392299+00:00,resp_04da4ca048b5b182006ab5a35eb8608193b867a0d18b374143,False,8986,8983,0,3,4448,2909,13434,0.0,0.00000060,0.00224575,0.00000000,0.00533760,0.00758395,single_01/fig3a/agent03_review_points.provenance.json
single_01,fig3a,agent04_final_check,agent04-qa,4,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:26:35.058859+00:00,resp_031dfe31c3da8408006ab5a38e82048194a64fd3dcc7ce948e,False,6324,6321,0,3,1849,1292,8173,0.0,0.00001200,0.03160500,0.00000000,0.03698000,0.06859700,single_01/fig3a/agent04_final_check.provenance.json
